"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1813","test_full_admin_flow[chromium]","tests.e2e","Tue Apr 07 16:16:57 UTC 2026","passed","Tue Apr 07 16:16:59 UTC 2026","","test_admin","",""
"Fluxo Crítico: Upload de XML e verificação de dados no dashboard.","1808","test_xml_import_flow_success[chromium]","tests.e2e","Tue Apr 07 16:17:06 UTC 2026","passed","Tue Apr 07 16:17:08 UTC 2026","","test_xml_import","",""
"POST /login: Deve gerar set-cookie com access_token válido.","6","test_api_login_success","tests.api","Tue Apr 07 16:16:55 UTC 2026","passed","Tue Apr 07 16:16:55 UTC 2026","","test_auth","",""
"","1116","test_login_success[chromium]","tests.e2e","Tue Apr 07 16:17:01 UTC 2026","passed","Tue Apr 07 16:17:02 UTC 2026","","test_auth","",""
"","3506","test_bi_flow[chromium]","tests.e2e","Tue Apr 07 16:17:03 UTC 2026","passed","Tue Apr 07 16:17:06 UTC 2026","","test_bi_module","",""
"GET /admin/usuarios: Deve listar todos os usuários mockados.","5","test_api_list_users","tests.api","Tue Apr 07 16:16:55 UTC 2026","passed","Tue Apr 07 16:16:55 UTC 2026","","test_users","",""
"POST /admin/usuarios: Persistência de novo usuário via formulário.","3","test_api_create_user","tests.api","Tue Apr 07 16:16:55 UTC 2026","passed","Tue Apr 07 16:16:55 UTC 2026","","test_users","",""
"Valida se endpoints administrativos estão protegidos (Shift-Left Security).","3","test_api_unauthorized_access_to_users_list","tests.api","Tue Apr 07 16:16:55 UTC 2026","skipped","Tue Apr 07 16:16:55 UTC 2026","","test_users","",""
"","1775","test_admin_create_user[chromium]","tests.e2e","Tue Apr 07 16:16:59 UTC 2026","passed","Tue Apr 07 16:17:00 UTC 2026","","test_admin_users","",""
"","1110","test_login_failure[chromium]","tests.e2e","Tue Apr 07 16:17:02 UTC 2026","passed","Tue Apr 07 16:17:03 UTC 2026","","test_auth","",""
"POST /login: Credenciais inválidas devem redirecionar para tela de erro.","2","test_api_login_failure","tests.api","Tue Apr 07 16:16:55 UTC 2026","passed","Tue Apr 07 16:16:55 UTC 2026","","test_auth","",""
