"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /admin/usuarios: Deve listar todos os usuários mockados.","5","test_api_list_users","tests.api","Tue Apr 07 14:42:22 UTC 2026","passed","Tue Apr 07 14:42:22 UTC 2026","","test_users","",""
"","1776","test_admin_create_user[chromium]","tests.e2e","Tue Apr 07 14:42:26 UTC 2026","passed","Tue Apr 07 14:42:28 UTC 2026","","test_admin_users","",""
"Valida se endpoints administrativos estão protegidos (Shift-Left Security).","4","test_api_unauthorized_access_to_users_list","tests.api","Tue Apr 07 14:42:22 UTC 2026","skipped","Tue Apr 07 14:42:22 UTC 2026","","test_users","",""
"","1111","test_login_success[chromium]","tests.e2e","Tue Apr 07 14:42:28 UTC 2026","passed","Tue Apr 07 14:42:29 UTC 2026","","test_auth","",""
"POST /admin/usuarios: Persistência de novo usuário via formulário.","3","test_api_create_user","tests.api","Tue Apr 07 14:42:22 UTC 2026","passed","Tue Apr 07 14:42:22 UTC 2026","","test_users","",""
"POST /login: Deve gerar set-cookie com access_token válido.","6","test_api_login_success","tests.api","Tue Apr 07 14:42:22 UTC 2026","passed","Tue Apr 07 14:42:22 UTC 2026","","test_auth","",""
"Fluxo Crítico: Upload de XML e verificação de dados no dashboard.","1824","test_xml_import_flow_success[chromium]","tests.e2e","Tue Apr 07 14:42:33 UTC 2026","passed","Tue Apr 07 14:42:35 UTC 2026","","test_xml_import","",""
"","1814","test_full_admin_flow[chromium]","tests.e2e","Tue Apr 07 14:42:24 UTC 2026","passed","Tue Apr 07 14:42:26 UTC 2026","","test_admin","",""
"POST /login: Credenciais inválidas devem redirecionar para tela de erro.","2","test_api_login_failure","tests.api","Tue Apr 07 14:42:22 UTC 2026","passed","Tue Apr 07 14:42:22 UTC 2026","","test_auth","",""
"","1108","test_login_failure[chromium]","tests.e2e","Tue Apr 07 14:42:29 UTC 2026","passed","Tue Apr 07 14:42:30 UTC 2026","","test_auth","",""
"","3507","test_bi_flow[chromium]","tests.e2e","Tue Apr 07 14:42:30 UTC 2026","passed","Tue Apr 07 14:42:33 UTC 2026","","test_bi_module","",""
