"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3502","test_bi_flow[chromium]","tests.e2e","Tue Apr 07 14:08:49 UTC 2026","passed","Tue Apr 07 14:08:53 UTC 2026","","test_bi_module","",""
"","1114","test_login_failure[chromium]","tests.e2e","Tue Apr 07 14:08:48 UTC 2026","passed","Tue Apr 07 14:08:49 UTC 2026","","test_auth","",""
"POST /admin/usuarios: Persistência de novo usuário via formulário.","3","test_api_create_user","tests.api","Tue Apr 07 14:08:41 UTC 2026","passed","Tue Apr 07 14:08:41 UTC 2026","","test_users","",""
"GET /admin/usuarios: Deve listar todos os usuários mockados.","5","test_api_list_users","tests.api","Tue Apr 07 14:08:41 UTC 2026","passed","Tue Apr 07 14:08:41 UTC 2026","","test_users","",""
"POST /login: Credenciais inválidas devem redirecionar para tela de erro.","3","test_api_login_failure","tests.api","Tue Apr 07 14:08:41 UTC 2026","passed","Tue Apr 07 14:08:41 UTC 2026","","test_auth","",""
"Fluxo Crítico: Upload de XML e verificação de dados no dashboard.","1827","test_xml_import_flow_success[chromium]","tests.e2e","Tue Apr 07 14:08:53 UTC 2026","passed","Tue Apr 07 14:08:54 UTC 2026","","test_xml_import","",""
"","1114","test_login_success[chromium]","tests.e2e","Tue Apr 07 14:08:47 UTC 2026","passed","Tue Apr 07 14:08:48 UTC 2026","","test_auth","",""
"POST /login: Deve gerar set-cookie com access_token válido.","6","test_api_login_success","tests.api","Tue Apr 07 14:08:41 UTC 2026","passed","Tue Apr 07 14:08:41 UTC 2026","","test_auth","",""
"Valida se endpoints administrativos estão protegidos (Shift-Left Security).","3","test_api_unauthorized_access_to_users_list","tests.api","Tue Apr 07 14:08:41 UTC 2026","skipped","Tue Apr 07 14:08:41 UTC 2026","","test_users","",""
"","1788","test_full_admin_flow[chromium]","tests.e2e","Tue Apr 07 14:08:43 UTC 2026","passed","Tue Apr 07 14:08:45 UTC 2026","","test_admin","",""
"","1874","test_admin_create_user[chromium]","tests.e2e","Tue Apr 07 14:08:45 UTC 2026","passed","Tue Apr 07 14:08:47 UTC 2026","","test_admin_users","",""
